Title,Queries RPC/CLI,,,,,,
Issue/Branch,-,,,,,,
Assignee,-,,,,,,
Scenarios,Case ID,Executed On,Status (Pass/Failed/Not Tested),Actual Results,Code Release Version,Comments,Linked issue (bug)
Account method in pocket-core cli's  query namespace,193,,,,,,
Invalid height ,194,,,,,,
Account does not exist,195,,,,,,
Account address is invalid,196,,,,,,
Account address contains invalid characters,197,,,,,,
Returns transactions,198,,,,,,
Returns null,199,,,,,,
Invalid chars in address,200,,,,,,
ACL method in pocket-core cli's query namespace,201,,,,,,
Request valid app height.,202,,,,,,
Request invalid app height.,203,,,,,,
Request invalid app height with bad chars.,204,,,,,,
Returns app details,205,,,,,,
Application address doesn't exist,206,,,,,,
Application address has incorrect length valid,207,,,,,,
Application address has invalid characters,208,,,,,,
Returns balance of existing account,209,,,,,,
Can't return balance of account that doesn't exist,210,,,,,,
Get block height,211,,,,,,
Given an invalid number height,212,,,,,,
Given an invalid char in height,213,,,,,,
Returns a block height ,214,,,,,,
Given an invalid number height,215,,,,,,
Given an invalid char in height,216,,,,,,
Get daoOwner,217,,,,,,
Returns the height of the pocket core network,218,,,,,,
Correct height number,219,,,,,,
Incorrect height number,220,,,,,,
Invalid height number,221,,,,,,
Pocket node exists ,222,,,,,,
Node information is invalid,223,,,,,,
Return list of all relay batch proofs submitted by node,224,,,,,,
Returns null for non existent receipts,225,,,,,,
Returns null for non existent node,226,,,,,,
Returns a pocket network node at the specified height,227,,,,,,
Node doesn't exist in pocket core network,228,,,,,,
Node address with invalid chars,229,,,,,,
Returns page of nodes,230,,,,,,
Returns error when given wrong height,231,,,,,,
Returns null when given 0 page,232,,,,,,
Return supported blockchains at given height,233,,,,,,
Return error with incorrect height,234,,,,,,
Returns the list of node params specified in the height,235,,,,,,
Returns error code with wrong height,236,,,,,,
Returns list of supported blockchains specified in the height,237,,,,,,
Returns an error code with invalid height,238,,,,,,
Return a transaction detail,239,,,,,,
Transaction doesn't exist,240,,,,,,
Transaction has invalid characters ,241,,,,,,
Gets the latest gov upgrade,242,,,,,,
Send invalid height,243,,,,,,
RPCs,,,,,,,
Account method in pocket-core cli's  query namespace,244,,,,,,
Invalid height ,245,,,,,,
Account does not exist,246,,,,,,
Account address is invalid,247,,,,,,
Account address contains invalid characters,248,,,,,,
Returns transactions,249,,,,,,
Returns null,250,,,,,,
Invalid chars in address,251,,,,,,
ACL method in pocket-core cli's query namespace,252,,,,,,
Request valid app height.,253,,,,,,
Request invalid app height.,254,,,,,,
Request invalid app height with bad chars.,255,,,,,,
Returns app details,256,,,,,,
Application address doesn't exist,257,,,,,,
Application address has incorrect length valid,258,,,,,,
Application address has invalid characters,259,,,,,,
Returns balance of existing account,260,,,,,,
Can't return balance of account that doesn't exist,261,,,,,,
Get block height,262,,,,,,
Given an invalid number height,263,,,,,,
Given an invalid char in height,264,,,,,,
Returns a block height ,265,,,,,,
Given an invalid number height,266,,,,,,
Given an invalid char in height,267,,,,,,
Get daoOwner,268,,,,,,
Returns the height of the pocket core network,269,,,,,,
Correct height number,270,,,,,,
Incorrect height number,271,,,,,,
Invalid height number,272,,,,,,
Pocket node exists ,273,,,,,,
Node information is invalid,274,,,,,,
Return list of all relay batch proofs submitted by node,275,,,,,,
Returns null for non existent receipts,276,,,,,,
Returns null for non existent node,277,,,,,,
Returns a pocket network node at the specified height,278,,,,,,
Node doesn't exist in pocket core network,279,,,,,,
Node address with invalid chars,280,,,,,,
Returns page of nodes,281,,,,,,
Returns error when given wrong height,282,,,,,,
Returns null when given 0 page,283,,,,,,
Return supported blockchains at given height,284,,,,,,
Return error with incorrect height,285,,,,,,
Returns the list of node params specified in the height,286,,,,,,
Returns error code with wrong height,287,,,,,,
Returns list of supported blockchains specified in the height,288,,,,,,
Returns an error code with invalid height,289,,,,,,
Return a transaction detail,290,,,,,,
Transaction doesn't exist,291,,,,,,
Transaction has invalid characters ,292,,,,,,
Gets the latest gov upgrade,293,,,,,,
Send invalid height,294,,,,,,